Date,NIR
31/03/1998,5.31
30/06/1998,5.28
30/09/1998,5.24
31/12/1998,5.2
31/03/1999,5.19
30/06/1999,5.18
30/09/1999,5.18
31/12/1999,5.17
31/03/2000,5.16
30/06/2000,5.14
30/09/2000,5.13
31/12/2000,5.11
31/03/2001,5.1
30/06/2001,5.1
30/09/2001,5.09
31/12/2001,5.08
31/03/2002,5.08
30/06/2002,5.07
30/09/2002,5.06
31/12/2002,5.04
31/03/2003,5.02
30/06/2003,5
30/09/2003,4.98
31/12/2003,4.97
31/03/2004,4.96
30/06/2004,4.95
30/09/2004,4.94
31/12/2004,4.93
31/03/2005,4.91
30/06/2005,4.89
30/09/2005,4.87
31/12/2005,4.86
31/03/2006,4.84
30/06/2006,4.82
30/09/2006,4.8
31/12/2006,4.77
31/03/2007,4.75
30/06/2007,4.72
30/09/2007,4.7
31/12/2007,4.66
31/03/2008,4.62
30/06/2008,4.58
30/09/2008,4.52
31/12/2008,4.45
31/03/2009,4.39
30/06/2009,4.34
30/09/2009,4.3
31/12/2009,4.25
31/03/2010,4.2
30/06/2010,4.15
30/09/2010,4.1
31/12/2010,4.05
31/03/2011,4.01
30/06/2011,3.96
30/09/2011,3.9
31/12/2011,3.85
31/03/2012,3.81
30/06/2012,3.76
30/09/2012,3.72
31/12/2012,3.68
31/03/2013,3.64
30/06/2013,3.61
30/09/2013,3.59
31/12/2013,3.56
31/03/2014,3.52
30/06/2014,3.48
30/09/2014,3.43
31/12/2014,3.38
31/03/2015,3.32
30/06/2015,3.26
30/09/2015,3.2
31/12/2015,3.13
31/03/2016,3.06
30/06/2016,2.98
30/09/2016,2.91
31/12/2016,2.85
31/03/2017,2.8
30/06/2017,2.74
30/09/2017,2.69
31/12/2017,2.63
31/03/2018,2.58
30/06/2018,2.52
30/09/2018,2.46
31/12/2018,2.4
31/03/2019,2.34
30/06/2019,2.29
30/09/2019,2.23
31/12/2019,2.19
31/03/2020,2.16
30/06/2020,2.16
30/09/2020,2.15
31/12/2020,2.15
31/03/2021,2.16
30/06/2021,2.17
30/09/2021,2.2
31/12/2021,2.24
31/03/2022,2.29
30/06/2022,2.35
30/09/2022,2.4
31/12/2022,2.45
31/03/2023,2.49
30/06/2023,2.53
30/09/2023,2.57
31/12/2023,2.61
31/03/2024,2.63
30/06/2024,2.8
30/09/2024,2.8
31/12/2024,2.9
31/03/2025,2.9
